"","team","season","tot_injured_value_lost"
"174","ARI",2005,11.948538
"175","PIT",2014,11.80985
"176","LV",2022,11.803432210084
"177","SEA",2021,11.6080693529412
"178","JAX",2023,11.6068106968326
"179","LV",2014,11.521805
"180","DET",2021,11.4786965921569
"181","TB",2023,11.3450648421053
"182","ARI",2016,11.2449037428571
"183","CLE",2017,11.209526725
"184","GB",2010,11.205675
"185","SEA",2019,11.0956792777778
"186","CAR",2023,10.8937727647059
"187","NO",2023,10.7439672352941
"188","DAL",2012,10.608515
"189","CHI",2007,10.596265
"190","BAL",2022,10.5651937043651
"191","DAL",2021,10.5450751111111
"192","NO",2017,10.4324437777778
"193","BAL",2017,10.42787925
"194","LAC",2020,10.2801697346154
"195","IND",2021,10.1739621176471
"196","JAX",2016,10.167510675
"197","CAR",2017,10.0839685882353
"198","IND",2015,9.950538
"199","MIA",2023,9.87942169934641
"200","NE",2015,9.831095
"201","IND",2018,9.78318683333333
"202","MIA",2018,9.772574
"203","DET",2022,9.58614642352941
"204","ATL",2014,9.426523
"205","PHI",2022,9.377907575
"206","ATL",2018,9.25047325
"207","DEN",2021,9.20984579939668
"208","LA",2023,9.16354777777778
"209","DEN",2020,9.15626051838235
"210","SEA",2008,9.076716
"211","WAS",2023,9.06126759477124
"212","CAR",2018,9.0315609375
"213","NYJ",2014,8.971885
"214","JAX",2020,8.97187564204545
"215","GB",2021,8.93237061111111
"216","DEN",2023,8.84381758823529
"217","BUF",2014,8.824797
"218","MIA",2009,8.806897
"219","DAL",2022,8.74078476780186
"220","CLE",2018,8.6795515
"221","LV",2018,8.623939125
"222","TB",2013,8.620564
"223","DAL",2014,8.611016
"224","ATL",2013,8.584279
"225","CHI",2020,8.54152954201681
"226","JAX",2015,8.535746
"227","NYJ",2018,8.47983709027778
"228","PIT",2013,8.384578
"229","NYG",2015,8.335409
"230","CHI",2017,8.32710133333333
"231","DAL",2023,8.23818694444444
"232","PHI",2020,8.227271875
"233","LAC",2013,8.153317
"234","PIT",2020,8.11865722222222
"235","CLE",2004,8.062532
"236","SEA",2014,8.023418
"237","TEN",2013,8.016522
"238","NYG",2022,7.80822489473684
"239","WAS",2016,7.800476
"240","WAS",2007,7.796421
"241","CIN",2019,7.790717375
"242","BUF",2011,7.769974
"243","KC",2019,7.75697969924812
"244","ATL",2019,7.713869
"245","PHI",2019,7.70849729411765
"246","TB",2020,7.69815223446456
"247","NYG",2019,7.59543202678571
"248","NO",2019,7.58245495539216
"249","DEN",2007,7.511765
"250","DEN",2008,7.511765
"251","DET",2018,7.504210625
"252","LA",2021,7.4748059047619
"253","CHI",2012,7.412106
"254","LV",2016,7.31293458823529
"255","WAS",2014,7.287541
"256","DET",2023,7.12659575588235
"257","NE",2019,7.11269405882353
"258","PIT",2023,7.09273338888889
"259","DEN",2011,7.090984
"260","WAS",2022,7.07437658823529
"261","NYG",2018,7.06825417992424
"262","BUF",2009,7.024601
"263","TEN",2023,7.00995852941177
"264","DET",2013,6.930946
"265","CHI",2019,6.930008
"266","DET",2010,6.823475
"267","LV",2023,6.80838058823529
"268","TB",2019,6.8045005625
"269","HOU",2007,6.782923
"270","MIA",2013,6.769138
"271","CHI",2022,6.75976435294118
"272","SF",2008,6.748374
"273","LV",2019,6.7367145
"274","NE",2010,6.731473
"275","LAC",2019,6.61773076442308
"276","DET",2019,6.61539311363636
"277","NO",2016,6.60430719444444
"278","LV",2013,6.547442
"279","BUF",2020,6.48381947368421
"280","HOU",2023,6.41770547368421
"281","DEN",2012,6.391013
"282","DEN",2019,6.38200344642857
"283","SF",2014,6.345649
"284","DEN",2016,6.3403140625
"285","CIN",2015,6.338874
"286","DET",2009,6.30437
"287","HOU",2014,6.238833
"288","CHI",2023,6.22984782352941
"289","KC",2020,6.18659773205742
"290","NO",2012,6.123765
"291","NE",2016,6.11977427719298
"292","PHI",2015,6.077751
"293","GB",2022,5.94355821836007
"294","PIT",2022,5.94261005882353
"295","HOU",2022,5.91237035294118
"296","CLE",2020,5.83186405555556
"297","NE",2018,5.81097268421053
"298","BAL",2016,5.807879
"299","TEN",2020,5.80516211111111
"300","HOU",2009,5.797372
"301","MIA",2014,5.760902
"302","PHI",2018,5.72523244444444
"303","PIT",2011,5.698124
"304","PIT",2010,5.645231
"305","MIA",2019,5.51340975
"306","MIN",2017,5.42169072222222
"307","CAR",2022,5.38368250980392
"308","GB",2023,5.33953057894737
"309","WAS",2013,5.331105
"310","TB",2017,5.310964875
"311","SEA",2016,5.28892391666667
"312","TB",2022,5.28602127777778
"313","LAC",2017,5.28331960416667
"314","NE",2022,5.28259070588235
"315","KC",2018,5.26760333333333
"316","IND",2012,5.261915
"317","WAS",2020,5.24708071060924
"318","CIN",2016,5.19646975
"319","BAL",2013,5.183735
"320","PIT",2016,5.16137
"321","PHI",2021,5.13025473333333
"322","LA",2014,5.115138
"323","DAL",2018,5.06369711111111
"324","ATL",2015,5.050483
"325","KC",2007,5.045516
"326","SEA",2015,5.016516
"327","NE",2002,4.90318
"328","IND",2016,4.895606625
"329","CIN",2008,4.855017
"330","GB",2005,4.813378
"331","LV",2017,4.778660875
"332","ATL",2023,4.77099676470588
"333","KC",2022,4.70753305714286
"334","CHI",2018,4.61699994117647
"335","MIN",2012,4.588894
"336","IND",2020,4.57459841176471
"337","GB",2006,4.573303
"338","ATL",2021,4.53720217843137
"339","MIA",2022,4.51979666666667
"340","BUF",2016,4.4927262875
"341","ATL",2016,4.49143863157895
"342","TEN",2017,4.43399606349206
"343","NO",2014,4.416692
"344","LAC",2021,4.34297104812834
"345","PIT",2008,4.339598
"346","TB",2018,4.3297578375
"347","KC",2023,4.23632028571429
"348","JAX",2013,4.228852
"349","CIN",2022,4.1716126
"350","NO",2010,4.139197
"351","MIA",2006,4.089738
"352","MIA",2007,4.089738
"353","LAC",2018,3.99286472222222
"354","CIN",2021,3.97452888095238
"355","NO",2011,3.934036
"356","SF",2023,3.9306352
"357","ARI",2019,3.8592442375
"358","BAL",2018,3.82187035294118
"359","HOU",2018,3.81696579738562
"360","TEN",2011,3.799858
